t,bid_price,ask_price,bid_depth,trade_count
0.000000,99.943155,99.979367,512.935963,10.000000
60.000000,99.912503,99.938446,386.530867,10.000000
120.000000,99.921664,99.943787,470.683225,9.000000
180.000000,99.920697,99.942212,514.696357,11.000000
240.000000,99.918533,99.953259,372.550327,7.000000
300.000000,99.909462,99.931232,449.596990,10.000000
360.000000,99.907633,99.928195,404.005607,15.000000
420.000000,99.910629,99.932681,672.104564,11.000000
480.000000,99.909590,99.934585,579.146785,14.000000
540.000000,99.906863,99.934371,432.186820,19.000000
600.000000,99.904965,99.945934,573.677187,17.000000
660.000000,99.864088,99.885776,380.832108,15.000000
720.000000,99.857807,99.893914,362.337601,9.000000
780.000000,99.862325,99.889013,548.835593,15.000000
840.000000,99.867505,99.895727,527.369713,10.000000
900.000000,99.874209,99.904468,560.080757,15.000000
960.000000,99.864878,99.888259,488.681569,12.000000
1020.000000,99.859079,99.885962,531.321151,9.000000
1080.000000,99.869638,99.911147,554.523429,17.000000
1140.000000,99.879998,99.910726,609.306699,18.000000
1200.000000,99.879073,99.902189,465.779541,12.000000
1260.000000,99.875932,99.898515,414.792830,10.000000
1320.000000,99.857645,99.878664,385.902348,14.000000
1380.000000,99.864346,99.889464,408.815616,11.000000
1440.000000,99.820820,99.850984,563.383702,11.000000
1500.000000,99.810641,99.830836,503.654695,14.000000
1560.000000,99.794125,99.824681,437.354053,9.000000
1620.000000,99.800213,99.824783,587.340688,10.000000
1680.000000,99.814185,99.838937,604.884981,11.000000
1740.000000,99.813677,99.840084,460.723063,2.000000
1800.000000,99.806405,99.832197,657.599838,11.000000
1860.000000,99.830465,99.862812,360.549346,9.000000
1920.000000,99.835935,99.866560,507.961012,11.000000
1980.000000,99.845458,99.870683,569.613907,7.000000
2040.000000,99.839381,99.865853,430.856636,12.000000
2100.000000,99.842048,99.872939,386.328665,10.000000
2160.000000,99.875834,99.906111,431.164667,9.000000
2220.000000,99.875728,99.900418,498.050367,13.000000
2280.000000,99.898713,99.922103,642.749469,14.000000
2340.000000,99.882580,99.911171,507.226364,3.000000
2400.000000,99.891561,99.921960,308.108548,18.000000
2460.000000,99.937015,99.957571,460.944430,9.000000
2520.000000,99.929159,99.953918,522.134159,17.000000
2580.000000,99.926143,99.963680,450.740560,9.000000
2640.000000,99.947162,99.969497,411.187927,11.000000
2700.000000,99.930562,99.958561,618.696810,12.000000
2760.000000,99.946662,99.970376,410.406559,15.000000
2820.000000,99.921483,99.954043,475.505749,9.000000
2880.000000,99.886568,99.925352,568.852654,17.000000
2940.000000,99.882930,99.912756,484.527352,11.000000
3000.000000,99.899524,99.928149,596.779885,7.000000
3060.000000,99.877955,99.898955,543.754651,16.000000
3120.000000,99.851374,99.882060,416.972705,8.000000
3180.000000,99.831511,99.872894,560.428960,11.000000
3240.000000,99.821300,99.851014,601.455660,11.000000
3300.000000,99.829118,99.856383,535.602873,14.000000
3360.000000,99.841189,99.862860,587.327684,12.000000
3420.000000,99.858114,99.894710,435.295440,13.000000
3480.000000,99.889512,99.926466,404.390569,13.000000
3540.000000,99.909413,99.935680,453.201854,16.000000
-3600.000000,99.929427,99.952100,451.942827,13.000000
-3540.000000,99.919582,99.943912,538.671397,6.000000
-3480.000000,99.909707,99.936406,550.690742,13.000000
-3420.000000,99.929876,99.956268,466.750204,11.000000
-3360.000000,99.970723,100.000652,450.034764,11.000000
-3300.000000,99.952160,99.986001,436.480106,17.000000
-3240.000000,99.929975,99.953050,540.449316,16.000000
-3180.000000,99.938665,99.965040,607.821889,18.000000
-3120.000000,99.918227,99.954335,353.684852,14.000000
-3060.000000,99.924017,99.948206,450.097654,10.000000
-3000.000000,99.913079,99.946646,582.543382,10.000000
-2940.000000,99.938233,99.963810,521.552042,9.000000
-2880.000000,99.935394,99.975729,488.014597,13.000000
-2820.000000,99.939194,99.975306,602.784368,15.000000
-2760.000000,99.906649,99.933588,579.744106,12.000000
-2700.000000,99.908841,99.938502,433.691486,10.000000
-2640.000000,99.902443,99.938257,544.544148,23.000000
-2580.000000,99.938500,99.977411,380.546801,8.000000
-2520.000000,99.941658,99.972583,628.261668,11.000000
-2460.000000,99.902908,99.933760,258.612646,10.000000
-2400.000000,99.934027,99.956251,461.353057,6.000000
-2340.000000,99.917055,99.946943,266.122053,7.000000
-2280.000000,99.905801,99.928921,454.093175,14.000000
-2220.000000,99.888312,99.916130,541.135706,19.000000
-2160.000000,99.910629,99.941245,448.872710,7.000000
-2100.000000,99.907154,99.943366,579.086711,14.000000
-2040.000000,99.931724,99.951898,529.678454,14.000000
-1980.000000,99.947700,99.979390,454.858642,18.000000
-1920.000000,99.965083,99.996097,431.998215,13.000000
-1860.000000,99.992172,100.013345,455.287171,12.000000
-1800.000000,99.991498,100.012719,507.867251,9.000000
-1740.000000,99.964801,99.991514,523.153208,7.000000
-1680.000000,99.952239,99.985861,503.715220,11.000000
-1620.000000,99.943559,99.977265,432.430945,19.000000
-1560.000000,99.959920,99.982906,668.597275,8.000000
-1500.000000,99.954997,99.978294,652.480160,21.000000
-1440.000000,99.948019,99.971356,444.196561,7.000000
-1380.000000,99.962064,99.988092,464.446962,17.000000
-1320.000000,99.971853,100.000154,340.990345,15.000000
-1260.000000,99.967676,100.003233,507.155364,19.000000
-1200.000000,99.974024,99.997911,651.855181,16.000000
-1140.000000,99.950462,99.981944,502.184228,11.000000
-1080.000000,99.973585,99.999196,431.847589,10.000000
-1020.000000,99.984365,100.012413,627.856632,11.000000
-960.000000,99.971871,100.000095,457.363188,16.000000
-900.000000,99.986760,100.010573,400.990161,12.000000
-840.000000,99.977718,100.000984,468.802743,9.000000
-780.000000,99.984723,100.010261,573.519696,7.000000
-720.000000,99.981168,100.010308,561.941725,10.000000
-660.000000,99.961927,99.984659,392.118911,10.000000
-600.000000,99.959497,99.986282,608.758620,12.000000
-540.000000,99.979240,100.007689,507.943272,13.000000
-480.000000,99.958552,99.994000,498.209117,12.000000
-420.000000,99.963092,100.000930,457.488351,11.000000
-360.000000,99.941684,99.962212,331.121277,15.000000
-300.000000,99.934022,99.962423,465.274820,9.000000
-240.000000,99.930426,99.953557,686.959691,14.000000
-180.000000,99.937431,99.964443,492.424255,11.000000
-120.000000,99.910681,99.951002,545.957741,12.000000
-60.000000,99.920025,99.951321,504.576618,14.000000
